,price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage
79,55000,3180,2,2,1,yes,no,yes,no,no,2
80,63900,6360,2,1,1,yes,no,yes,no,yes,1
81,50000,4240,3,1,2,yes,no,no,no,yes,0
82,35000,3240,2,1,1,no,yes,no,no,no,1
83,50000,3650,3,1,2,yes,no,no,no,no,0
84,43000,3240,3,1,2,yes,no,no,no,no,2
85,55500,3780,2,1,2,yes,yes,yes,no,no,0
86,57000,6480,3,1,2,no,no,no,no,yes,1
87,60000,5850,2,1,1,yes,yes,yes,no,no,2
88,78000,3150,3,2,1,yes,yes,yes,no,yes,0
89,35000,3000,2,1,1,yes,no,no,no,no,1
90,44000,3090,2,1,1,yes,yes,yes,no,no,0
91,47000,6060,3,1,1,yes,yes,yes,no,no,0
92,58000,5900,4,2,2,no,no,yes,no,no,1
93,163000,7420,4,1,2,yes,yes,yes,no,yes,2
94,128000,8500,3,2,4,yes,no,no,no,yes,2
95,123500,8050,3,1,1,yes,yes,yes,no,yes,1
96,39000,6800,2,1,1,yes,no,no,no,no,0
97,53900,8250,3,1,1,yes,no,no,no,no,2
98,59900,8250,3,1,1,yes,no,yes,no,no,3
99,35000,3500,2,1,1,yes,yes,no,no,no,0
100,43000,2835,2,1,1,yes,no,no,no,no,0
101,57000,4500,3,2,2,no,no,yes,no,yes,0
102,79000,3300,3,3,2,yes,no,yes,no,no,0
103,125000,4320,3,1,2,yes,no,yes,yes,no,2
104,132000,3500,4,2,2,yes,no,no,yes,no,2
105,58000,4992,3,2,2,yes,no,no,no,no,2
106,43000,4600,2,1,1,yes,no,no,no,no,0
107,48000,3720,2,1,1,no,no,no,no,yes,0
108,58500,3680,3,2,2,yes,no,no,no,no,0
109,73000,3000,3,2,2,yes,yes,yes,no,no,0
110,63500,3750,2,1,1,yes,yes,yes,no,no,0
111,43000,5076,3,1,1,no,no,no,no,no,0
112,46500,4500,2,1,1,no,no,no,no,no,0
113,92000,5000,3,1,2,yes,no,no,no,yes,0
114,75000,4260,4,1,2,yes,no,yes,no,yes,0
115,75000,6540,4,2,2,no,no,no,no,yes,0
116,85000,3700,4,1,2,yes,yes,no,no,yes,0
117,93000,3760,3,1,2,yes,no,no,yes,no,2
118,94500,4000,3,2,2,yes,no,yes,no,yes,1
119,106500,4300,3,2,2,yes,no,yes,no,no,1
120,116000,6840,5,1,2,yes,yes,yes,no,yes,1
121,61500,4400,2,1,1,yes,no,no,no,no,1
122,80000,10500,4,2,2,yes,no,no,no,no,1
123,37000,4400,2,1,1,yes,no,no,no,no,0
124,59500,4840,3,1,2,yes,no,no,no,no,1
125,70000,4120,2,1,1,yes,no,yes,no,no,1
126,95000,4260,4,2,2,yes,no,no,yes,no,0
127,117000,5960,3,3,2,yes,yes,yes,no,no,1
128,122500,8800,3,2,2,yes,no,no,no,yes,2
129,123500,4560,3,2,2,yes,yes,yes,no,yes,1
130,127000,4600,3,2,2,yes,yes,no,no,yes,2
131,35000,4840,2,1,2,yes,no,no,no,no,0
132,44500,3850,3,1,2,yes,no,no,no,no,0
133,49900,4900,3,1,2,no,no,no,no,no,0
134,50500,3850,3,1,1,yes,no,no,no,no,2
135,65000,3760,3,1,1,yes,no,no,no,no,2
136,90000,6000,4,2,4,yes,no,no,no,no,1
137,46000,4370,3,1,2,yes,no,no,no,no,0
138,35000,7700,2,1,1,yes,no,no,no,no,0
139,26500,2990,2,1,1,no,no,no,no,no,1
140,43000,3750,3,1,2,yes,no,no,no,no,0
141,56000,3000,3,1,2,yes,no,no,no,no,0
142,40000,2650,3,1,2,yes,no,yes,no,no,1
143,51000,4500,4,2,2,yes,no,yes,no,no,2
144,51000,4500,2,1,1,no,no,no,no,no,0
145,57250,4500,3,1,2,no,no,yes,no,yes,0
146,44000,4500,2,1,2,yes,no,no,yes,no,1
147,61000,2175,3,1,2,no,yes,yes,no,yes,0
148,62000,4500,3,2,3,yes,no,no,yes,no,1
149,80000,4800,5,2,3,no,no,yes,yes,no,0
150,50000,4600,4,1,2,yes,no,no,no,no,0
151,59900,3450,3,1,2,yes,no,no,no,no,1
152,35500,3000,3,1,2,no,no,no,no,no,0
153,37000,3600,2,2,2,yes,no,yes,no,no,1
154,42000,3600,3,1,2,no,no,no,no,no,1
155,48000,3750,3,1,1,yes,no,no,no,no,0
156,60000,2610,4,3,2,no,no,no,no,no,0
157,60000,2953,3,1,2,yes,no,yes,no,yes,0
158,60000,2747,4,2,2,no,no,no,no,no,0
159,62000,1905,5,1,2,no,no,yes,no,no,0
160,63000,3968,3,1,2,no,no,no,no,no,0
161,63900,3162,3,1,2,yes,no,no,no,yes,1
162,130000,6000,4,1,2,yes,no,yes,no,no,2
163,25000,2910,3,1,1,no,no,no,no,no,0
164,50000,2135,3,2,2,no,no,no,no,no,0
165,52900,3120,3,1,2,no,no,yes,yes,no,0
166,62000,4075,3,1,1,yes,yes,yes,no,no,2
167,73500,3410,3,1,2,no,no,no,no,yes,0
168,38000,2800,3,1,1,yes,no,no,no,no,0
169,46000,2684,2,1,1,yes,no,no,no,yes,1
170,48000,3100,3,1,2,no,no,yes,no,no,0
171,52500,3630,2,1,1,yes,no,yes,no,no,0
172,32000,1950,3,1,1,no,no,no,yes,no,0
173,38000,2430,3,1,1,no,no,no,no,no,0
174,46000,4320,3,1,1,no,no,no,no,no,1
175,50000,3036,3,1,2,yes,no,yes,no,no,0
176,57500,3630,3,2,2,yes,no,no,yes,no,2
177,70000,5400,4,1,2,yes,no,no,no,no,0
178,69900,3420,4,2,2,yes,no,yes,no,yes,2
179,74500,3180,3,2,2,yes,no,no,no,no,2
180,42000,3660,4,1,2,no,no,no,no,no,0
181,60000,4410,2,1,1,no,no,no,no,no,1
182,50000,3990,3,1,2,yes,no,no,no,no,0
183,58000,4340,3,1,1,yes,no,no,no,no,0
184,63900,3510,3,1,2,yes,no,no,no,no,0
185,28000,3420,5,1,2,no,no,no,no,no,0
186,54000,3420,2,1,2,yes,no,no,yes,no,1
187,44700,5495,3,1,1,yes,no,yes,no,no,0
188,47000,3480,4,1,2,no,no,no,no,no,1
189,50000,7424,3,1,1,no,no,no,no,no,0
190,57250,3460,4,1,2,yes,no,no,no,yes,0
191,67000,3630,3,1,2,yes,no,no,no,no,2
192,52500,3630,2,1,1,yes,no,no,no,yes,0
193,42000,3480,3,1,2,no,no,no,no,no,1
194,57500,3460,3,2,1,yes,no,yes,no,yes,1
195,33000,3180,2,1,1,yes,no,no,no,no,0
196,34400,3635,2,1,1,no,no,no,no,no,0
197,40000,3960,3,1,1,yes,no,no,no,no,0
198,40500,4350,3,1,2,no,no,no,yes,no,1
199,46500,3930,2,1,1,no,no,no,no,no,0
200,52000,3570,3,1,2,yes,no,yes,no,no,0
201,53000,3600,3,1,1,yes,no,no,no,no,1
202,53900,2520,5,2,1,no,no,yes,no,yes,1
203,50000,3480,3,1,1,no,no,no,no,yes,0
204,55500,3180,4,2,2,yes,no,no,no,no,0
205,56000,3290,2,1,1,yes,no,no,yes,no,1
206,60000,4000,4,2,2,no,no,no,no,no,0
207,60000,2325,3,1,2,no,no,no,no,no,0
208,69500,4350,2,1,1,yes,no,yes,no,no,0
209,72000,3540,2,1,1,no,yes,yes,no,no,0
210,92500,3960,3,1,1,yes,no,yes,no,no,2
211,40500,2640,2,1,1,no,no,no,no,no,1
212,42000,2700,2,1,1,no,no,no,no,no,0
213,47900,2700,3,1,1,no,no,no,no,no,0
214,52000,3180,3,1,2,no,no,yes,no,no,0
215,62000,3500,4,1,2,yes,no,no,no,no,2
216,41000,3630,2,1,1,yes,no,no,no,no,0
217,138300,6000,4,3,2,yes,yes,yes,yes,no,2
218,42000,3150,3,1,2,no,no,no,no,no,0
219,47000,3792,4,1,2,yes,no,no,no,no,0
220,64500,3510,3,1,3,yes,no,no,no,no,0
221,46000,3120,3,1,2,no,no,no,no,no,0
222,58000,3000,4,1,3,yes,no,yes,no,yes,2
223,70100,4200,3,1,2,yes,no,no,no,no,1
224,78500,2817,4,2,2,no,yes,yes,no,no,1
225,87250,3240,4,1,3,yes,no,no,no,no,1
226,70800,2800,3,2,2,no,no,yes,no,yes,1
227,56000,3816,2,1,1,yes,no,yes,no,yes,2
228,48000,3185,2,1,1,yes,no,yes,no,no,2
229,68000,6321,3,1,2,yes,no,yes,no,yes,1
230,79000,3650,3,2,2,yes,no,no,no,no,2
231,80000,4700,4,1,2,yes,yes,yes,no,yes,1
232,87000,6615,4,2,2,yes,yes,no,yes,no,1
233,25000,3850,3,1,2,yes,no,no,no,no,0
234,32500,3970,1,1,1,no,no,no,no,no,0
235,36000,3000,2,1,2,yes,no,no,no,no,0
236,42500,4352,4,1,2,no,no,no,no,no,1
237,43000,3630,4,1,2,yes,no,no,no,no,3
238,50000,3600,6,1,2,yes,no,no,no,no,1
239,26000,3000,2,1,1,yes,no,yes,no,no,2
240,30000,3000,4,1,2,yes,no,no,no,no,0
241,34000,2787,4,2,2,yes,no,no,no,no,0
242,52000,3000,2,1,2,yes,no,no,no,yes,0
243,70000,4770,3,1,1,yes,yes,yes,no,no,0
244,27000,3649,2,1,1,yes,no,no,no,no,0
245,32500,3970,3,1,2,yes,no,yes,no,no,0
246,37200,2910,2,1,1,no,no,no,no,no,0
247,38000,3480,2,1,1,yes,no,no,no,no,1
248,42000,6615,3,1,2,yes,no,no,no,no,0
249,44500,3500,2,1,1,yes,no,no,no,no,0
250,45000,3450,3,1,2,yes,no,yes,no,no,0
251,48500,3450,3,1,1,yes,no,yes,no,no,2
252,52000,3520,2,2,1,yes,no,yes,no,no,0
253,53900,6930,4,1,2,no,no,no,no,no,1
254,60000,4600,3,2,2,yes,no,no,no,yes,1
255,61000,4360,4,1,2,yes,no,no,no,no,0
256,64500,3450,3,1,2,yes,no,yes,no,no,1
257,71000,4410,4,3,2,yes,no,yes,no,no,2
258,75500,4600,2,2,1,yes,no,no,no,yes,2
259,33500,3640,2,1,1,yes,no,no,no,no,0
260,41000,6000,2,1,1,yes,no,no,no,no,0
261,41000,5400,4,1,2,yes,no,no,no,no,0
262,46200,3640,4,1,2,yes,no,yes,no,no,0
263,48500,3640,2,1,1,yes,no,no,no,no,0
264,48900,4040,2,1,1,yes,no,no,no,no,0
265,50000,3640,2,1,1,yes,no,no,no,no,1
266,51000,3640,2,1,1,yes,no,no,no,no,0
267,52500,5640,2,1,1,no,no,no,no,no,0
268,52500,3600,2,1,1,yes,no,no,no,no,0
269,54000,3600,2,1,1,yes,no,no,no,no,0
270,59000,4632,4,1,2,yes,no,no,no,yes,0
271,60000,3640,3,2,2,yes,no,yes,no,no,0
272,63000,4900,2,1,2,yes,no,yes,no,no,0
273,64000,4510,4,1,2,yes,no,no,no,yes,2
274,64900,4100,2,2,1,yes,yes,yes,no,no,0
275,65000,3640,3,1,2,yes,no,no,no,yes,0
276,66000,5680,3,1,2,yes,yes,no,no,yes,1
277,70000,6300,3,1,1,yes,no,no,no,yes,2
278,65500,4000,3,1,2,yes,no,no,no,no,1
279,57000,3960,3,1,2,yes,no,no,no,no,0
280,52000,5960,3,1,2,yes,yes,yes,no,no,0
281,54000,5830,2,1,1,yes,no,no,no,no,2
282,74500,4500,4,2,1,no,no,yes,no,yes,2
283,90000,4100,3,2,3,yes,no,no,no,yes,2
284,45000,6750,2,1,1,yes,no,no,no,no,0
285,45000,9000,3,1,2,yes,no,no,no,no,2
286,65000,2550,3,1,2,yes,no,yes,no,no,0
287,55000,7152,3,1,2,yes,no,no,no,yes,0
288,62000,6450,4,1,2,yes,no,no,no,no,0
289,30000,3360,2,1,1,yes,no,no,no,no,1
290,34000,3264,2,1,1,yes,no,no,no,no,0
291,38000,4000,3,1,1,yes,no,no,no,no,0
292,39000,4000,3,1,2,yes,no,no,no,no,1
293,45000,3069,2,1,1,yes,no,no,no,no,1
294,47000,4040,2,1,1,yes,no,no,no,no,0
295,47500,4040,2,1,1,yes,no,no,no,no,1
296,49000,3185,2,1,1,yes,no,no,no,no,2
297,50000,5900,2,1,1,yes,no,no,no,no,1
298,50000,3120,3,1,2,yes,no,no,no,no,1
299,52900,5450,2,1,1,yes,no,no,no,no,0
300,53000,4040,2,1,1,yes,no,no,no,no,0
301,55000,4080,2,1,1,yes,no,no,no,no,0
302,56000,8080,3,1,1,yes,no,no,no,yes,2
303,58500,4040,2,1,2,yes,no,no,no,no,1
304,59500,4080,3,1,2,yes,no,no,no,no,2
305,60000,5800,3,1,1,yes,no,no,yes,no,2
306,64000,5885,2,1,1,yes,no,no,no,yes,1
307,67000,9667,4,2,2,yes,yes,yes,no,no,1
308,68100,3420,4,2,2,yes,no,no,no,no,0
309,70000,5800,2,1,1,yes,yes,yes,no,yes,0
310,72000,7600,4,1,2,yes,no,no,no,yes,2
311,57500,5400,3,1,1,yes,no,no,no,no,3
312,69900,4995,4,2,1,yes,no,yes,no,no,0
313,70000,3000,3,1,2,yes,no,yes,no,yes,0
314,75000,5500,3,2,1,yes,no,yes,no,no,0
315,76900,6450,3,2,1,yes,yes,yes,yes,no,0
316,78000,6210,4,1,4,yes,yes,no,no,yes,0
317,80000,5000,3,1,4,yes,no,no,no,no,0
318,82000,5000,3,1,3,yes,no,no,no,yes,0
319,83000,5828,4,1,4,yes,yes,no,no,no,0
320,83000,5200,3,1,3,yes,no,no,no,yes,0
321,83900,5500,3,1,3,yes,yes,no,no,yes,1
322,88500,6350,3,2,3,yes,yes,no,no,yes,0
323,93000,8250,3,2,3,yes,no,no,no,yes,0
324,98000,6000,3,1,1,yes,no,no,no,yes,1
325,98500,7700,3,2,1,yes,no,no,no,no,2
326,99000,8880,3,2,2,yes,no,yes,no,yes,1
327,101000,8880,2,1,1,yes,no,no,no,yes,1
328,110000,6480,3,2,4,yes,no,no,no,yes,2
329,115442,7000,3,2,4,yes,no,no,no,yes,2
330,120000,8875,3,1,1,yes,no,no,no,no,1
331,124000,7155,3,2,1,yes,yes,yes,no,yes,2
332,175000,8960,4,4,4,yes,no,no,no,yes,3
333,50000,7350,2,1,1,yes,no,no,no,no,1
334,55000,3850,2,1,1,yes,no,no,no,no,0
335,60000,7000,3,1,1,yes,no,no,no,no,3
336,61000,7770,2,1,1,yes,no,no,no,no,1
337,106000,7440,3,2,1,yes,yes,yes,no,yes,0
338,155000,7500,3,3,1,yes,no,yes,no,yes,2
339,141000,8100,4,1,2,yes,yes,yes,no,yes,2
340,62500,3900,3,1,2,yes,no,no,no,no,0
341,70000,2970,3,1,3,yes,no,no,no,no,0
342,73000,3000,3,1,2,yes,no,yes,no,no,0
343,80000,10500,2,1,1,yes,no,no,no,no,1
344,80000,5500,3,2,2,yes,no,no,no,no,1
345,88000,4500,3,1,4,yes,no,no,no,yes,0
346,49000,3850,3,1,1,yes,no,no,no,no,0
347,52000,4130,3,2,2,yes,no,no,no,no,2
348,59500,4046,3,1,2,yes,no,yes,no,no,1
349,60000,4079,3,1,3,yes,no,no,no,no,0
350,64000,4000,3,1,2,yes,no,no,no,no,2
351,64500,9860,3,1,1,yes,no,no,no,no,0
352,68500,7000,3,1,2,yes,no,yes,no,no,0
353,78500,7980,3,1,1,yes,no,no,no,no,2
354,86000,6800,2,1,1,yes,yes,yes,no,no,2
355,86900,4300,6,2,2,yes,no,no,no,no,0
356,75000,10269,3,1,1,yes,no,no,no,no,1
357,78000,6100,3,1,3,yes,yes,no,no,yes,0
358,95000,6420,3,2,3,yes,no,no,no,yes,0
359,97000,12090,4,2,2,yes,no,no,no,no,2
360,107000,6600,3,1,4,yes,no,no,no,yes,3
361,130000,6600,4,2,2,yes,yes,yes,no,yes,1
362,145000,8580,4,3,4,yes,no,no,no,yes,2
363,175000,9960,3,2,2,yes,no,yes,no,no,2
364,72000,10700,3,1,2,yes,yes,yes,no,no,0
365,84900,15600,3,1,1,yes,no,no,no,yes,2
366,99000,13200,2,1,1,yes,no,yes,yes,no,1
367,114000,9000,4,2,4,yes,no,no,no,yes,2
368,120000,7950,5,2,2,yes,no,yes,yes,no,2
369,145000,16200,5,3,2,yes,no,no,no,no,0
370,79000,6100,3,2,1,yes,no,yes,no,no,2
371,82000,6360,3,1,1,yes,yes,yes,no,yes,2
372,85000,6420,3,1,1,yes,no,yes,no,yes,0
373,100500,6360,4,2,3,yes,no,no,no,yes,2
374,122000,6540,4,2,2,yes,yes,yes,no,yes,2
375,126500,6420,3,2,2,yes,no,no,no,yes,1
376,133000,6550,4,2,2,yes,no,no,no,yes,1
377,140000,5750,3,2,4,yes,yes,no,no,yes,1
378,190000,7420,4,2,3,yes,no,no,no,yes,2
379,84000,7160,3,1,1,yes,no,yes,no,no,2
380,97000,4000,3,2,2,yes,no,yes,no,yes,0
381,103500,9000,4,2,4,yes,yes,no,no,yes,1
382,112500,6550,3,1,2,yes,no,yes,no,yes,0
383,140000,13200,3,1,2,yes,no,yes,no,yes,2
384,74700,7085,3,1,1,yes,yes,yes,no,no,2
385,78000,6600,4,2,2,yes,yes,yes,no,no,0
386,78900,6900,3,1,1,yes,yes,yes,no,no,0
387,83900,11460,3,1,3,yes,no,no,no,no,2
388,85000,7020,3,1,1,yes,no,yes,no,yes,2
389,85000,6540,3,1,1,yes,yes,yes,no,no,2
390,86000,8000,3,1,1,yes,yes,yes,no,yes,2
391,86900,9620,3,1,1,yes,no,yes,no,no,2
392,94500,10500,3,2,1,yes,no,yes,no,yes,1
393,96000,5020,3,1,4,yes,no,no,no,yes,0
394,106000,7440,3,2,4,yes,no,no,no,no,1
395,72000,6600,3,1,1,yes,yes,yes,no,no,0
396,74500,7200,3,1,2,yes,yes,yes,no,no,1
397,77000,6710,3,2,2,yes,yes,yes,no,no,1
398,80750,6660,4,2,2,yes,yes,yes,no,no,1
399,82900,7000,3,1,1,yes,no,yes,no,no,2
400,85000,7231,3,1,2,yes,yes,yes,no,yes,0
401,92500,7410,3,1,1,yes,yes,yes,no,yes,2
402,76000,7800,3,1,1,yes,no,yes,no,yes,2
403,77500,6825,3,1,1,yes,yes,yes,no,yes,0
404,80000,6360,3,1,3,yes,no,no,no,no,0
405,80000,6600,4,2,1,yes,no,yes,no,no,0
406,86000,6900,3,2,1,yes,yes,yes,no,no,0
407,87000,6600,3,1,1,yes,yes,yes,no,no,2
408,87500,6420,3,1,3,yes,no,yes,no,no,0
409,89000,6600,3,2,1,yes,no,yes,no,yes,0
410,89900,6600,3,2,3,yes,no,no,no,yes,0
411,90000,9000,3,1,1,yes,no,yes,no,no,1
412,95000,6500,3,2,3,yes,no,no,no,yes,0
413,112000,6360,3,2,4,yes,no,no,no,yes,0
414,31900,5300,3,1,1,no,no,no,no,yes,0
415,52000,2850,3,2,2,no,no,yes,no,no,0
416,90000,6400,3,1,1,yes,yes,yes,no,yes,1
417,100000,11175,3,1,1,yes,no,yes,no,yes,1
418,91700,6750,2,1,1,yes,yes,yes,no,no,2
419,174500,7500,4,2,2,yes,no,yes,no,yes,3
420,94700,6000,3,1,2,yes,no,no,yes,no,1
421,68000,10240,2,1,1,yes,no,no,no,yes,2
422,80000,5136,3,1,2,yes,yes,yes,no,yes,0
423,61100,3400,3,1,2,yes,no,yes,no,no,2
424,62900,2880,3,1,2,yes,no,no,no,no,0
425,65500,3840,3,1,2,yes,no,no,no,no,1
426,66000,2870,2,1,2,yes,yes,yes,no,no,0
427,49500,5320,2,1,1,yes,no,no,no,no,1
428,50000,3512,2,1,1,yes,no,no,no,no,1
429,53500,3480,2,1,1,yes,no,no,no,no,0
430,58550,3600,3,1,1,yes,no,yes,no,yes,0
431,64500,3520,2,1,2,yes,no,no,no,no,0
432,65000,5320,3,1,2,yes,yes,yes,no,no,0
433,69000,6040,3,1,1,yes,no,no,no,no,2
434,73000,11410,2,1,2,yes,no,no,no,no,0
435,75000,8400,3,1,2,yes,yes,yes,no,yes,2
436,75000,5300,4,2,1,yes,no,no,no,yes,0
437,132000,7800,3,2,2,yes,no,no,no,no,0
438,60000,3520,3,1,2,yes,no,no,no,no,0
439,65000,5360,3,1,2,yes,no,no,no,no,2
440,69000,6862,3,1,2,yes,no,no,no,yes,2
441,51900,3520,3,1,1,yes,no,no,no,no,2
442,57000,4050,2,1,2,yes,yes,yes,no,no,0
443,65000,3520,3,1,1,yes,no,no,no,no,0
444,79500,4400,4,1,2,yes,no,no,no,yes,2
445,72500,5720,2,1,2,yes,no,no,no,yes,0
446,104900,11440,4,1,2,yes,no,yes,no,no,1
447,114900,7482,3,2,3,yes,no,no,yes,no,1
448,120000,5500,4,2,2,yes,no,yes,no,yes,1
449,58000,4320,3,1,2,yes,no,no,no,no,2
450,67000,5400,2,1,2,yes,no,no,no,no,0
451,67000,4320,3,1,1,yes,no,no,no,no,0
452,69000,4815,2,1,1,yes,no,no,no,yes,0
453,73000,6100,3,1,1,yes,no,yes,no,yes,0
454,73500,7980,3,1,1,yes,no,no,no,no,1
455,74900,6050,3,1,1,yes,no,yes,no,no,0
456,75000,3800,3,1,2,yes,yes,yes,no,no,1
457,79500,5400,5,1,2,yes,yes,yes,no,yes,0
458,120900,6000,3,2,4,yes,yes,yes,no,yes,0
459,44555,2398,3,1,1,yes,no,no,no,no,0
460,47000,2145,3,1,2,yes,no,yes,no,no,0
461,47600,2145,3,1,2,yes,no,yes,no,no,0
462,49000,2145,3,1,3,yes,no,no,no,no,0
463,49000,2610,3,1,2,yes,no,yes,no,no,0
464,49000,1950,3,2,2,yes,no,yes,no,no,0
465,49500,2145,3,1,3,yes,no,no,no,no,0
466,52000,2275,3,1,3,yes,no,no,yes,yes,0
467,54000,2856,3,1,3,yes,no,no,no,no,0
468,55000,2015,3,1,2,yes,no,yes,no,no,0
469,55000,2176,2,1,2,yes,yes,no,no,no,0
470,56000,2145,4,2,1,yes,no,yes,no,no,0
471,60000,2145,3,1,3,yes,no,no,no,no,1
472,60500,2787,3,1,1,yes,no,yes,no,no,0
473,50000,9500,3,1,2,yes,no,no,no,no,3
474,64900,4990,4,2,2,yes,yes,yes,no,no,0
475,93000,6670,3,1,3,yes,no,yes,no,no,0
476,85000,6254,4,2,1,yes,no,yes,no,no,1
477,61500,10360,2,1,1,yes,no,no,no,no,1
478,88500,5500,3,2,1,yes,yes,yes,no,no,2
479,88000,5450,4,2,1,yes,no,yes,no,yes,0
480,89000,5500,3,1,3,yes,no,no,no,no,1
481,89500,6000,4,1,3,yes,yes,yes,no,no,0
482,95000,5700,3,1,1,yes,yes,yes,no,yes,2
483,95500,6600,2,2,4,yes,no,yes,no,no,0
484,51500,4000,2,1,1,yes,no,no,no,no,0
485,62900,4880,3,1,1,yes,no,no,no,no,2
486,118500,4880,4,2,2,yes,no,no,no,yes,1
487,42900,8050,2,1,1,yes,no,no,no,no,0
488,44100,8100,2,1,1,yes,no,no,no,no,1
489,47000,5880,3,1,1,yes,no,no,no,no,1
490,50000,5880,2,1,1,yes,no,no,no,no,0
491,50000,12944,3,1,1,yes,no,no,no,no,0
492,53000,6020,3,1,1,yes,no,no,no,no,0
493,53000,4050,2,1,1,yes,no,no,no,no,0
494,54000,8400,2,1,1,yes,no,no,no,no,1
495,58500,5600,2,1,1,yes,no,no,no,yes,0
496,59000,5985,3,1,1,yes,no,yes,no,no,0
497,60000,4500,3,1,1,yes,no,yes,no,no,0
498,62900,4920,3,1,2,yes,no,no,no,no,1
499,64000,8250,3,1,1,yes,no,no,no,no,0
500,65000,8400,4,1,4,yes,no,no,no,no,3
501,67900,6440,2,1,1,yes,no,no,no,yes,3
